Crop_Type,Soil_pH,Rainfall,Temperature,Fertilizer_Use,Yield,Water_Efficiency,Soil_pH_Category,Rainfall_Category,Water_Usage_Estimate,Irrigation,Year
Wheat,5.9,678,32,34,2.51,0.003702065,Neutral,Medium,Medium,Sprinkler,1982
Sugarcane,7.9,511,28,94,3.12,0.006105675,Alkaline,Medium,Medium,Flood,1984
Wheat,6.2,1831,23,84,5.74,0.003134899,Neutral,High,High,Sprinkler,1983
Maize,5.9,1513,18,37,5.96,0.003939194,Neutral,High,High,Drip,1981
Peanut,5.8,816,30,117,3.95,0.004840686,Neutral,Medium,Medium,Drip,1987
Oats,7.2,1819,33,30,2.42,0.001330401,Neutral,High,High,Sprinkler,1986
Sorghum,7.9,1213,24,86,3.16,0.002605111,Alkaline,High,High,Drip,1983
Cotton,7.8,1629,35,93,5.58,0.003425414,Alkaline,High,High,Drip,1983
Corn,7.2,648,28,107,5.74,0.008858025,Neutral,Medium,Medium,Drip,1983
Barley,5.9,1357,28,67,3.83,0.002822402,Neutral,High,High,Sprinkler,1983
Corn,4.8,1918,28,44,5.8,0.003023983,Acidic,High,High,Drip,1984
Barley,7.8,1898,25,31,3.47,0.00182824,Alkaline,High,High,Sprinkler,1984
Peanut,4.9,1884,31,69,3.35,0.001778132,Acidic,High,High,Drip,1988
Millet,6.3,1889,37,96,3.64,0.001926945,Neutral,High,High,Sprinkler,1982
Millet,6.6,1068,20,118,3.71,0.003473783,Neutral,High,High,Sprinkler,1983
Cotton,6.9,1639,29,30,4.02,0.002452715,Neutral,High,High,Drip,1984
Maize,6.7,1803,26,41,5.81,0.003222407,Neutral,High,High,Drip,1982
Oats,7.1,641,40,109,2.68,0.004180967,Neutral,Medium,Medium,Sprinkler,1987
Cotton,6.8,1134,22,92,2.44,0.002151675,Neutral,High,High,Drip,1985
Rice,7.3,661,28,120,2.26,0.003419062,Neutral,Medium,Medium,Flood,1981
Sorghum,7,1543,29,70,5.86,0.003797797,Neutral,High,High,Drip,1984
Cotton,5.3,897,20,103,2.34,0.002608696,Acidic,Medium,Medium,Drip,1986
Millet,7,1172,26,112,5.33,0.004547782,Neutral,High,High,Sprinkler,1984
Cotton,4.7,1372,37,93,4,0.002915452,Acidic,High,High,Drip,1987
Sorghum,5.2,1009,22,120,4.28,0.004241824,Acidic,High,High,Drip,1985
Maize,7.1,511,21,77,5.48,0.01072407,Neutral,Medium,Medium,Drip,1983
Sugarcane,6.3,1645,17,37,5.78,0.003513678,Neutral,High,High,Flood,1985
Sorghum,5.9,357,37,85,3.29,0.009215686,Neutral,Low,Low,Drip,1986
Sugarcane,7.1,909,24,90,4.34,0.004774477,Neutral,Medium,Medium,Flood,1986
Oats,5.2,1245,23,105,5.82,0.004674699,Acidic,High,High,Sprinkler,1988
Barley,6,1818,26,48,5.62,0.003091309,Neutral,High,High,Sprinkler,1985
Wheat,7.6,1073,15,82,4.02,0.003746505,Alkaline,High,High,Sprinkler,1984
Wheat,5.4,381,21,57,5.9,0.015485564,Acidic,Low,Low,Sprinkler,1985
Oats,5.7,659,33,109,4.03,0.006115326,Neutral,Medium,Medium,Sprinkler,1989
Maize,7.1,937,27,68,4.52,0.004823906,Neutral,Medium,Medium,Drip,1984
Sorghum,4.9,453,19,119,5.62,0.012406181,Acidic,Low,Low,Drip,1987
Sugarcane,6.8,454,39,51,4.45,0.009801762,Neutral,Low,Low,Flood,1987
Corn,6.5,485,31,91,2.91,0.006,Neutral,Low,Low,Drip,1985
Rice,7,1663,25,80,3.56,0.00214071,Neutral,High,High,Flood,1982
Maize,7.6,522,22,113,2.65,0.005076628,Alkaline,Medium,Medium,Drip,1985
Rice,5.4,958,36,38,3.96,0.004133612,Acidic,Medium,Medium,Flood,1983
Rice,6.4,449,37,67,4.52,0.010066815,Neutral,Low,Low,Flood,1984
Corn,5.4,557,25,106,5.5,0.009874327,Acidic,Medium,Medium,Drip,1986
Rice,4.8,1805,32,88,2.86,0.001584488,Acidic,High,High,Flood,1985
Sorghum,6.2,1489,36,99,4.04,0.00271323,Neutral,High,High,Drip,1988
Cotton,7.3,1377,38,31,2.56,0.001859114,Neutral,High,High,Drip,1988
Wheat,5.9,655,15,35,4.07,0.00621374,Neutral,Medium,Medium,Sprinkler,1986
Sorghum,6.8,893,32,74,2.48,0.002777156,Neutral,Medium,Medium,Drip,1989
Sugarcane,5.9,942,37,91,4.1,0.004352442,Neutral,Medium,Medium,Flood,1988
Millet,5.9,1759,18,45,2.41,0.001370097,Neutral,High,High,Sprinkler,1985
Sugarcane,7.3,1782,33,37,3.22,0.001806958,Neutral,High,High,Flood,1989
Rice,6.4,452,21,80,2.8,0.00619469,Neutral,Low,Low,Flood,1986
Barley,6.4,1861,34,83,3.2,0.001719506,Neutral,High,High,Sprinkler,1986
Barley,4.5,1038,21,94,4.56,0.004393064,Acidic,High,High,Sprinkler,1987
Maize,6,1392,32,43,2.59,0.001860632,Neutral,High,High,Drip,1986
Soybean,4.5,781,23,42,4,0.005121639,Acidic,Medium,Medium,Sprinkler,1982
Rice,4.7,1759,39,35,5.41,0.003075611,Acidic,High,High,Flood,1987
Sorghum,7.2,1310,27,63,4.73,0.003610687,Neutral,High,High,Drip,1990
Peanut,5.7,1774,40,90,5.73,0.003229989,Neutral,High,High,Drip,1989
Soybean,5.8,895,36,86,3.63,0.004055866,Neutral,Medium,Medium,Sprinkler,1983
Sorghum,7.5,583,30,37,5.39,0.009245283,Neutral,Medium,Medium,Drip,1991
Wheat,7.2,1641,20,73,2.62,0.001596587,Neutral,High,High,Sprinkler,1987
Rice,7.5,1362,34,39,3.9,0.002863436,Neutral,High,High,Flood,1988
Soybean,6.8,1848,30,76,3.88,0.002099567,Neutral,High,High,Sprinkler,1984
Peanut,7.9,1888,18,111,2.53,0.001340042,Alkaline,High,High,Drip,1990
Maize,6.2,1883,18,96,4.72,0.002506638,Neutral,High,High,Drip,1987
Soybean,6,708,16,31,3.48,0.004915254,Neutral,Medium,Medium,Sprinkler,1985
Corn,6.1,792,21,77,2.66,0.003358586,Neutral,Medium,Medium,Drip,1987
Peanut,6.7,1491,40,107,4.67,0.003132126,Neutral,High,High,Drip,1991
Rice,8,693,32,109,2.14,0.003088023,Alkaline,Medium,Medium,Flood,1989
Barley,7.6,565,27,89,4.21,0.007451327,Alkaline,Medium,Medium,Sprinkler,1988
Rice,4.8,829,36,55,5.16,0.006224367,Acidic,Medium,Medium,Flood,1990
Rice,7.3,1777,22,41,4.39,0.002470456,Neutral,High,High,Flood,1991
Sorghum,6.8,1148,40,82,5.49,0.00478223,Neutral,High,High,Drip,1992
Barley,6.6,1983,17,85,5.4,0.002723147,Neutral,High,High,Sprinkler,1989
Oats,5.9,508,26,76,5.17,0.010177165,Neutral,Medium,Medium,Sprinkler,1990
Rice,5.3,1816,26,36,2.37,0.001305066,Acidic,High,High,Flood,1992
Wheat,6.8,710,21,88,4.94,0.006957746,Neutral,Medium,Medium,Sprinkler,1988
Soybean,7.7,1022,20,67,2.22,0.002172211,Alkaline,High,High,Sprinkler,1986
Wheat,5.2,1381,32,48,4.07,0.00294714,Acidic,High,High,Sprinkler,1989
Sugarcane,4.9,1382,28,120,5.33,0.003856729,Acidic,High,High,Flood,1990
Sorghum,5.1,715,15,63,4.23,0.005916084,Acidic,Medium,Medium,Drip,1993
Oats,4.9,1898,19,55,5.68,0.002992624,Acidic,High,High,Sprinkler,1991
Rice,7.4,881,17,112,5.41,0.006140749,Neutral,Medium,Medium,Flood,1993
Corn,4.7,424,32,33,4.35,0.010259434,Acidic,Low,Low,Drip,1988
Oats,4.6,697,34,112,4.97,0.00713056,Acidic,Medium,Medium,Sprinkler,1992
Wheat,6.6,802,23,87,3.67,0.00457606,Neutral,Medium,Medium,Sprinkler,1990
Rice,5.8,1884,33,57,5.62,0.002983015,Neutral,High,High,Flood,1994
Soybean,6.4,993,35,94,5.64,0.005679758,Neutral,Medium,Medium,Sprinkler,1987
Rice,4.6,987,27,76,2.62,0.002654509,Acidic,Medium,Medium,Flood,1995
Wheat,7.8,1140,38,97,2.91,0.002552632,Alkaline,High,High,Sprinkler,1991
Sugarcane,6.8,871,32,115,4.58,0.005258324,Neutral,Medium,Medium,Flood,1991
Peanut,7.4,1561,17,41,4.6,0.002946829,Neutral,High,High,Drip,1992
Rice,5.1,1265,30,45,5.68,0.004490119,Acidic,High,High,Flood,1996
Wheat,4.7,800,22,60,3.29,0.0041125,Acidic,Medium,Medium,Sprinkler,1992
Soybean,5.7,1046,38,118,4.93,0.004713193,Neutral,High,High,Sprinkler,1988
Wheat,8,1409,40,118,5.29,0.003754436,Alkaline,High,High,Sprinkler,1993
Oats,6.6,1372,28,66,3.89,0.002835277,Neutral,High,High,Sprinkler,1993
Oats,6.4,1805,31,80,2.28,0.001263158,Neutral,High,High,Sprinkler,1994
Corn,6.6,310,17,77,5.21,0.016806452,Neutral,Low,Low,Drip,1989
Maize,7.1,639,22,71,3.06,0.004788732,Neutral,Medium,Medium,Drip,1988
Wheat,6.1,761,27,105,3.93,0.005164258,Neutral,Medium,Medium,Sprinkler,1994
Oats,4.6,1947,36,87,2.34,0.001201849,Acidic,High,High,Sprinkler,1995
Cotton,5.8,1101,32,96,3.59,0.003260672,Neutral,High,High,Drip,1989
Sugarcane,6,682,35,51,5.16,0.007565982,Neutral,Medium,Medium,Flood,1992
Soybean,6.8,1749,31,115,5.57,0.003184677,Neutral,High,High,Sprinkler,1989
Millet,7.2,1719,27,99,5.36,0.003118092,Neutral,High,High,Sprinkler,1986
Peanut,6.2,1820,25,69,5.69,0.003126374,Neutral,High,High,Drip,1993
Peanut,6.4,797,38,66,2.77,0.003475533,Neutral,Medium,Medium,Drip,1994
Rice,5.6,567,20,37,3.92,0.00691358,Neutral,Medium,Medium,Flood,1997
Wheat,6.8,881,34,57,5.92,0.006719637,Neutral,Medium,Medium,Sprinkler,1995
Wheat,7.2,958,30,39,3.66,0.003820459,Neutral,Medium,Medium,Sprinkler,1996
Sugarcane,5.3,1180,24,58,5.88,0.004983051,Acidic,High,High,Flood,1993
Oats,5.7,1060,23,88,5.01,0.004726415,Neutral,High,High,Sprinkler,1996
Peanut,6.9,330,32,38,3.2,0.00969697,Neutral,Low,Low,Drip,1995
Cotton,6.9,1110,21,46,5,0.004504505,Neutral,High,High,Drip,1990
Corn,5.9,1025,39,56,5.8,0.005658537,Neutral,High,High,Drip,1990
Soybean,4.6,1592,18,94,2.93,0.001840452,Acidic,High,High,Sprinkler,1990
Corn,5,1138,17,48,5.7,0.005008787,Acidic,High,High,Drip,1991
Corn,6.3,1708,20,37,4.38,0.002564403,Neutral,High,High,Drip,1992
Sugarcane,6.8,1579,32,48,2.11,0.001336289,Neutral,High,High,Flood,1994
Soybean,6.4,1832,23,56,3.61,0.001970524,Neutral,High,High,Sprinkler,1991
Barley,5.3,620,17,94,3.45,0.005564516,Acidic,Medium,Medium,Sprinkler,1990
Peanut,6.5,627,21,106,2.74,0.004370016,Neutral,Medium,Medium,Drip,1996
Cotton,5.2,1897,22,112,4.39,0.00231418,Acidic,High,High,Drip,1991
Oats,7.3,731,26,108,4.25,0.005813953,Neutral,Medium,Medium,Sprinkler,1997
Barley,5.8,955,36,111,5.45,0.005706806,Neutral,Medium,Medium,Sprinkler,1991
Maize,6,1066,30,43,2.11,0.001979362,Neutral,High,High,Drip,1989
Millet,6.1,344,21,93,4.85,0.014098837,Neutral,Low,Low,Sprinkler,1987
Sugarcane,7.5,1483,15,59,2.7,0.001820634,Neutral,High,High,Flood,1995
Wheat,7.1,956,18,71,4.86,0.005083682,Neutral,Medium,Medium,Sprinkler,1997
Rice,7.4,890,28,55,3.78,0.004247191,Neutral,Medium,Medium,Flood,1998
Sugarcane,7.9,1211,28,76,4.44,0.003666391,Alkaline,High,High,Flood,1996
Corn,7.1,458,27,78,3.56,0.007772926,Neutral,Low,Low,Drip,1993
Sorghum,6.8,684,27,46,5.52,0.008070175,Neutral,Medium,Medium,Drip,1994
Millet,4.7,1072,40,77,2.31,0.002154851,Acidic,High,High,Sprinkler,1988
Sugarcane,5.9,1985,36,80,4.5,0.002267003,Neutral,High,High,Flood,1997
Cotton,7.8,1644,39,40,5.83,0.003546229,Alkaline,High,High,Drip,1992
Oats,7.6,1340,35,87,5.16,0.003850746,Alkaline,High,High,Sprinkler,1998
Corn,6.5,824,34,112,2.65,0.003216019,Neutral,Medium,Medium,Drip,1994
Sorghum,7.8,1772,26,64,5.22,0.002945824,Alkaline,High,High,Drip,1995
Oats,6.2,379,31,59,5.92,0.015620053,Neutral,Low,Low,Sprinkler,1999
Barley,7.7,1838,31,58,4.67,0.002540805,Alkaline,High,High,Sprinkler,1992
Cotton,5.6,1199,27,52,3.32,0.002768974,Neutral,High,High,Drip,1993
Cotton,5,492,27,49,4.08,0.008292683,Acidic,Low,Low,Drip,1994
Maize,6.5,924,17,72,5.42,0.005865801,Neutral,Medium,Medium,Drip,1990
Rice,7.9,343,17,44,5.4,0.01574344,Alkaline,Low,Low,Flood,1999
Barley,6.8,1184,21,120,3.23,0.002728041,Neutral,High,High,Sprinkler,1993
Soybean,7.5,930,29,42,5.12,0.005505376,Neutral,Medium,Medium,Sprinkler,1992
Sorghum,7.7,1952,32,56,4.08,0.002090164,Alkaline,High,High,Drip,1996
Barley,6.4,530,26,38,2.02,0.003811321,Neutral,Medium,Medium,Sprinkler,1994
Maize,6.2,718,23,34,2.77,0.003857939,Neutral,Medium,Medium,Drip,1991
Rice,6.7,462,18,51,3.84,0.008311688,Neutral,Low,Low,Flood,2000
Maize,5.4,1890,27,71,5.41,0.002862434,Acidic,High,High,Drip,1992
Cotton,5.3,1146,31,96,5.38,0.00469459,Acidic,High,High,Drip,1995
Millet,6,1409,15,79,4.9,0.003477644,Neutral,High,High,Sprinkler,1989
Sugarcane,7.2,1209,25,49,3.15,0.002605459,Neutral,High,High,Flood,1998
Sorghum,7.2,718,32,38,2.45,0.003412256,Neutral,Medium,Medium,Drip,1997
Peanut,6.7,1772,19,99,2.93,0.001653499,Neutral,High,High,Drip,1997
Millet,5.6,303,40,98,2.52,0.008316832,Neutral,Low,Low,Sprinkler,1990
Oats,5.3,1213,25,92,5.29,0.004361088,Acidic,High,High,Sprinkler,2000
Barley,5.2,335,16,110,4.69,0.014,Acidic,Low,Low,Sprinkler,1995
Millet,7.8,1095,18,107,5.54,0.005059361,Alkaline,High,High,Sprinkler,1991
Cotton,5.2,849,31,74,4.38,0.005159011,Acidic,Medium,Medium,Drip,1996
Cotton,4.7,1848,33,72,4.95,0.002678571,Acidic,High,High,Drip,1997
Peanut,5.2,1055,22,71,3.8,0.003601896,Acidic,High,High,Drip,1998
Soybean,6.7,643,21,40,4.33,0.006734059,Neutral,Medium,Medium,Sprinkler,1993
Oats,6.5,1256,26,90,4.05,0.003224522,Neutral,High,High,Sprinkler,2001
Soybean,5.1,1613,15,111,5.38,0.0033354,Acidic,High,High,Sprinkler,1994
Sugarcane,6.9,356,32,37,3.9,0.010955056,Neutral,Low,Low,Flood,1999
Corn,6.8,475,26,52,2.69,0.005663158,Neutral,Low,Low,Drip,1995
Sugarcane,6.2,1521,38,115,3.57,0.00234714,Neutral,High,High,Flood,2000
Wheat,5.3,341,20,52,5.7,0.016715543,Acidic,Low,Low,Sprinkler,1998
Peanut,7.8,1499,22,43,3.44,0.002294863,Alkaline,High,High,Drip,1999
Peanut,7.3,979,19,44,4.64,0.00473953,Neutral,Medium,Medium,Drip,2000
Rice,5,1785,16,105,4.55,0.00254902,Acidic,High,High,Flood,2001
Rice,4.7,754,21,92,5.32,0.007055703,Acidic,Medium,Medium,Flood,2002
Maize,6.4,809,34,103,4.73,0.005846724,Neutral,Medium,Medium,Drip,1993
Soybean,7.3,1629,27,98,3.4,0.00208717,Neutral,High,High,Sprinkler,1995
Barley,4.8,1478,38,94,2.85,0.001928281,Acidic,High,High,Sprinkler,1996
Soybean,4.5,1191,24,82,3.01,0.002527288,Acidic,High,High,Sprinkler,1996
Oats,4.9,1974,35,116,3.18,0.001610942,Acidic,High,High,Sprinkler,2002
Rice,7.2,1060,24,34,5.95,0.005613208,Neutral,High,High,Flood,2003
Corn,6.1,1938,36,78,4.74,0.00244582,Neutral,High,High,Drip,1996
Sugarcane,7.4,1270,40,88,5.92,0.004661417,Neutral,High,High,Flood,2001
Cotton,5.1,795,24,83,3.31,0.004163522,Acidic,Medium,Medium,Drip,1998
Oats,4.7,1704,15,62,4.54,0.002664319,Acidic,High,High,Sprinkler,2003
Wheat,6.1,1465,25,75,5.96,0.004068259,Neutral,High,High,Sprinkler,1999
Peanut,5.3,1045,21,103,2.49,0.002382775,Acidic,High,High,Drip,2001
Maize,6.7,445,23,47,4.03,0.00905618,Neutral,Low,Low,Drip,1994
Millet,6.4,1465,17,100,3.71,0.002532423,Neutral,High,High,Sprinkler,1992
Maize,6.6,318,35,71,2.34,0.007358491,Neutral,Low,Low,Drip,1995
Maize,7.7,1704,39,116,3.31,0.001942488,Alkaline,High,High,Drip,1996
Rice,6.7,322,28,68,2.66,0.00826087,Neutral,Low,Low,Flood,2004
Wheat,7.1,528,32,80,2.83,0.005359848,Neutral,Medium,Medium,Sprinkler,2000
Oats,5,371,18,85,3.53,0.009514825,Acidic,Low,Low,Sprinkler,2004
Millet,5.6,1219,33,82,4.73,0.00388023,Neutral,High,High,Sprinkler,1993
Peanut,6.2,1808,25,72,3.15,0.001742257,Neutral,High,High,Drip,2002
Sorghum,5.5,1331,40,120,2.11,0.001585274,Acidic,High,High,Drip,1998
Wheat,7.9,1953,31,61,2.62,0.001341526,Alkaline,High,High,Sprinkler,2001
Maize,4.7,1104,25,91,3.36,0.003043478,Acidic,High,High,Drip,1997
Oats,6.7,804,19,93,5.56,0.006915423,Neutral,Medium,Medium,Sprinkler,2005
Peanut,5.2,1108,17,114,4.4,0.003971119,Acidic,High,High,Drip,2003
Cotton,7.7,575,28,96,5.43,0.009443478,Alkaline,Medium,Medium,Drip,1999
Oats,6.3,1604,21,107,4.41,0.002749377,Neutral,High,High,Sprinkler,2006
Barley,5.5,1151,16,118,3.97,0.003449175,Acidic,High,High,Sprinkler,1997
Sugarcane,6.5,1247,34,70,4.14,0.003319968,Neutral,High,High,Flood,2002
Corn,7,1708,21,86,4.19,0.002453162,Neutral,High,High,Drip,1997
Corn,6.7,1725,35,95,3.64,0.002110145,Neutral,High,High,Drip,1998
Peanut,7,779,26,49,4.4,0.005648267,Neutral,Medium,Medium,Drip,2004
Cotton,7.3,1039,33,44,3.99,0.003840231,Neutral,High,High,Drip,2000
Cotton,5.5,549,28,120,3.96,0.007213115,Acidic,Medium,Medium,Drip,2001
Barley,7.7,1224,24,72,4.99,0.004076797,Alkaline,High,High,Sprinkler,1998
Rice,6.5,1178,35,86,4.99,0.004235993,Neutral,High,High,Flood,2005
Corn,4.6,366,25,116,3.58,0.009781421,Acidic,Low,Low,Drip,1999
Barley,4.9,1256,35,65,3.72,0.002961783,Acidic,High,High,Sprinkler,1999
Millet,6.1,872,25,85,3.03,0.003474771,Neutral,Medium,Medium,Sprinkler,1994
Maize,5.3,603,24,80,5.87,0.00973466,Acidic,Medium,Medium,Drip,1998
Millet,6.7,730,17,114,2.4,0.003287671,Neutral,Medium,Medium,Sprinkler,1995
Wheat,7.1,722,17,60,2.91,0.004030471,Neutral,Medium,Medium,Sprinkler,2002
Rice,7.3,622,15,73,4.76,0.007652733,Neutral,Medium,Medium,Flood,2006
Barley,7.6,1301,32,94,3.22,0.002475019,Alkaline,High,High,Sprinkler,2000
Cotton,5.9,1618,19,34,5.11,0.00315822,Neutral,High,High,Drip,2002
Soybean,5.9,766,27,62,3.78,0.004934726,Neutral,Medium,Medium,Sprinkler,1997
Sorghum,5.2,1387,19,45,5.55,0.004001442,Acidic,High,High,Drip,1999
Millet,4.5,555,20,65,3.64,0.006558559,Acidic,Medium,Medium,Sprinkler,1996
Barley,7.2,1267,26,59,5.59,0.004411997,Neutral,High,High,Sprinkler,2001
Soybean,4.7,1883,29,52,5.43,0.002883696,Acidic,High,High,Sprinkler,1998
Cotton,7.5,1024,15,95,5.14,0.005019531,Neutral,High,High,Drip,2003
Rice,5.5,342,35,72,4.44,0.012982456,Acidic,Low,Low,Flood,2007
Sugarcane,6.6,820,29,93,4.08,0.00497561,Neutral,Medium,Medium,Flood,2003
Peanut,7,831,22,92,3.6,0.00433213,Neutral,Medium,Medium,Drip,2005
Corn,5.4,1898,36,98,3.4,0.001791359,Acidic,High,High,Drip,2000
Cotton,7.9,1665,38,54,4.96,0.002978979,Alkaline,High,High,Drip,2004
Sorghum,6.8,825,17,103,3.16,0.003830303,Neutral,Medium,Medium,Drip,2000
Wheat,6.7,1660,27,89,5.26,0.003168675,Neutral,High,High,Sprinkler,2003
Sorghum,5.2,1716,39,119,5.91,0.003444056,Acidic,High,High,Drip,2001
Barley,6.7,914,23,37,5.23,0.005722101,Neutral,Medium,Medium,Sprinkler,2002
Oats,5,1209,36,111,5.84,0.004830438,Acidic,High,High,Sprinkler,2007
Peanut,6.6,1492,32,31,3.37,0.002258713,Neutral,High,High,Drip,2006
Wheat,5.9,1435,32,96,3.09,0.00215331,Neutral,High,High,Sprinkler,2004
Corn,6.9,1208,27,96,5.83,0.004826159,Neutral,High,High,Drip,2001
Corn,5.7,1933,22,108,2.22,0.001148474,Neutral,High,High,Drip,2002
Peanut,4.8,1214,33,110,2.6,0.00214168,Acidic,High,High,Drip,2007
Corn,6.8,1373,34,46,4.34,0.003160961,Neutral,High,High,Drip,2003
Millet,7.9,1283,34,81,5.87,0.004575214,Alkaline,High,High,Sprinkler,1997
Sugarcane,6.3,1608,18,103,2.14,0.001330846,Neutral,High,High,Flood,2004
Wheat,6.8,389,38,62,2.66,0.006838046,Neutral,Low,Low,Sprinkler,2005
Soybean,7.2,807,33,67,4.32,0.00535316,Neutral,Medium,Medium,Sprinkler,1999
Maize,7.1,1140,40,42,3.56,0.003122807,Neutral,High,High,Drip,1999
Cotton,7.2,1739,19,52,3.44,0.001978148,Neutral,High,High,Drip,2005
Oats,8,1534,27,102,5.13,0.003344198,Alkaline,High,High,Sprinkler,2008
Rice,7.9,698,19,113,2.97,0.004255014,Alkaline,Medium,Medium,Flood,2008
Corn,5.4,432,15,120,5.52,0.012777778,Acidic,Low,Low,Drip,2004
Soybean,5.5,928,23,72,3.86,0.004159483,Acidic,Medium,Medium,Sprinkler,2000
Sugarcane,6.2,672,28,37,3.51,0.005223214,Neutral,Medium,Medium,Flood,2005
Soybean,6.2,1901,26,57,3.58,0.001883219,Neutral,High,High,Sprinkler,2001
Rice,7.6,2000,31,36,4.56,0.00228,Alkaline,High,High,Flood,2009
Corn,6.2,1532,29,104,5.55,0.003622715,Neutral,High,High,Drip,2005
Sorghum,6.5,343,18,95,5.98,0.017434402,Neutral,Low,Low,Drip,2002
Sorghum,6.4,737,31,120,3.37,0.004572592,Neutral,Medium,Medium,Drip,2003
Wheat,4.9,1020,25,54,5.97,0.005852941,Acidic,High,High,Sprinkler,2006
Barley,4.5,481,20,75,3.9,0.008108108,Acidic,Low,Low,Sprinkler,2003
Millet,4.8,1299,26,31,3.48,0.002678984,Acidic,High,High,Sprinkler,1998
Cotton,4.5,524,22,73,5.32,0.010152672,Acidic,Medium,Medium,Drip,2006
Sugarcane,4.6,1439,39,49,5.26,0.003655316,Acidic,High,High,Flood,2006
Maize,4.9,504,16,105,5.91,0.01172619,Acidic,Medium,Medium,Drip,2000
Sugarcane,6.2,1378,39,97,4.44,0.003222061,Neutral,High,High,Flood,2007
Maize,6.8,571,38,107,3.63,0.006357268,Neutral,Medium,Medium,Drip,2001
Rice,7,817,24,86,3.05,0.00373317,Neutral,Medium,Medium,Flood,2010
Barley,5.6,814,35,41,2.48,0.003046683,Neutral,Medium,Medium,Sprinkler,2004
Sugarcane,6,1415,15,59,2.09,0.001477032,Neutral,High,High,Flood,2008
Cotton,5.5,465,18,86,2.15,0.004623656,Acidic,Low,Low,Drip,2007
Corn,7.8,1818,37,52,4.83,0.002656766,Alkaline,High,High,Drip,2006
Peanut,7.1,1507,30,45,5.19,0.003443928,Neutral,High,High,Drip,2008
Barley,4.6,1489,15,42,3.54,0.002377435,Acidic,High,High,Sprinkler,2005
Peanut,5.9,1245,20,101,5.88,0.004722892,Neutral,High,High,Drip,2009
Rice,4.9,1291,15,35,3.65,0.002827266,Acidic,High,High,Flood,2011
